Crocosmia ×crocosmiliflora
Crocus ×luteus
Crocus ×hybridus
Crocus ×jessoppiae
Crocus ×sativus
Crocus ×stellaris
Cryptocoryne ×purpurea
Cryptocoryne ×timahensis
Cryptothladia ×chinensis
Cucumis ×hytivus
Cuphea ×purpurea
Cupressus ×leylandii
Cupressus ×ovensii
Cyathea ×bernardii
Cyathea ×marcescens
Cyathea ×wilsonii
Cyclosorus ×incesta
Cyclosorus ×palmeri
Cylindropuntia ×antoniae
Cylindropuntia ×deserta
Cylindropuntia ×grantiorum
Cylindropuntia ×kelvinensis
Cylindropuntia ×acanthocarpa
Cylindropuntia ×campii
Cylindropuntia ×cardenche
Cylindropuntia ×fosbergii
Cylindropuntia ×imbricata
Cylindropuntia ×multigeniculata
Cylindropuntia ×neoarbuscula
Cylindropuntia ×pallida
Cylindropuntia ×perrita
Cylindropuntia ×tetracantha
Cylindropuntia ×viridiflora
Cylindropuntia ×vivipara
Cymbidium ×baoshanense
Cymbidium ×cooperianum
Cymbidium ×hybridum
Cymbidium ×langleyense
Cymbidium ×pumilow
Cymbopogon ×stracheyi
Cynara ×humilis
Cynara ×pacensis
Cynodon ×magennisii
Cynoglossum ×bicolor
Cynoglossum ×hybridum
Cynometra ×ramiflora
Cyperus ×deeringianus 
Cyperus ×hybridus
Cyperus ×mesochorus
Cyperus ×plankii
Cyperus ×deeringianus
Cyperus ×mesochoreus
Cyperus ×turbatus
Cypripedium ×andrewsii
Cypripedium ×favillianum
Cypripedium ×gigas
Cypripedium ×landonii
Cypripedium ×ventricosum
Cyrtandra ×nutans
Cyrtomium ×pseudo-caryotideum
Cystopteris ×illinoensis
Cystopteris ×wagneri
Cystopteris ×brittonii
Cytisus ×praecox
Cytisus ×abulensis
Cytisus ×dallimorei
Cytisus ×multiflorus
Cytisus ×pseudorochelii
Cytisus ×racemosus
Cytisus ×striatus
Dacrydium ×suprinii
Dactylorhiza ×aschersoniana
Dactylorhiza ×transiens
Dactylorhiza ×aldenii
Dactylorhiza ×carnea
Dactylorhiza ×delamainii
Dactylorhiza ×gustavssonii
Dactylorhiza ×kerneri
Dactylorhiza ×wiefelspuetziana
Dahlia ×cultorum
Dahlia ×hortensis
Dahlia ×hybrida
Dahlia ×pinnata
Danaea ×cordata
Danaea ×imbricata
Danaea ×jenmanii
Danaea ×manzeana
Danaea ×oblanceolata
Danaea ×wrightii
Daphne ×burkwoodii
Daphne ×dauphinii
Datura ×candida
